"l"-noun-oc "l"-noun-fr
"dreit"-preposition-oc "en face de"-preposition-fr
"en fòra de"-preposition-oc "en dehors de"-preposition-fr
"en escambi de"-preposition-oc "en échange de"-preposition-fr
"en forma de"-preposition-oc "en forme de"-preposition-fr
"en fòrma de"-preposition-oc "en forme de"-preposition-fr
"en mai de"-preposition-oc "en plus de"-preposition-fr
"en plaça de"-preposition-oc "au défaut de"-preposition-fr
"en plaça de"-preposition-oc "à la place de"-preposition-fr
"en prejudici de"-preposition-oc "au préjudice de"-preposition-fr
"en qualitat de"-preposition-oc "en qualité de"-preposition-fr
"en rason de"-preposition-oc "en raison de"-preposition-fr
"en vertut de"-preposition-oc "en vertu de"-preposition-fr
"entad açò qu'ei a"-preposition-oc "par rapport à"-preposition-fr
"entad açò qu'ei a"-preposition-oc "pour ce qui est de"-preposition-fr
"entad açò qu'ei a"-preposition-oc "quant à"-preposition-fr
"entad açò que tanh"-preposition-oc "en ce qui concerne"-preposition-fr
"entad aiçò qu'ei a"-preposition-oc "par rapport à"-preposition-fr
"entad aiçò qu'ei a"-preposition-oc "pour ce qui est de"-preposition-fr
"entad aiçò qu'ei a"-preposition-oc "quant à"-preposition-fr
"entad aiçò que tanh"-preposition-oc "en ce qui concerne"-preposition-fr
"entad"-preposition-oc "pour"-preposition-fr
"entà per'mor de"-preposition-oc "pour"-preposition-fr
"entre"-preposition-oc "entre"-preposition-fr
"entram"-preposition-oc "entre"-preposition-fr
"entremièg"-preposition-oc "entre"-preposition-fr
"entretant de"-preposition-oc "en attendant de"-preposition-fr
"envers"-preposition-oc "envers"-preposition-fr
"envèrs"-preposition-oc "envers"-preposition-fr
"fàcia a"-preposition-oc "face à"-preposition-fr
"de cap a"-preposition-oc "face à"-preposition-fr
"de cara a"-preposition-oc "face à"-preposition-fr
"fins a"-preposition-oc "jusqu'à"-preposition-fr
"jos"-preposition-oc "sous"-preposition-fr
"mercés a"-preposition-oc "grâce à"-preposition-fr
"mercé a"-preposition-oc "grâce à"-preposition-fr
"gràcias a"-preposition-oc "grâce à"-preposition-fr
"jos l'efièch de"-preposition-oc "sous l'effet de"-preposition-fr
"jos l'efècte de"-preposition-oc "sous l'effet de"-preposition-fr
"sota l'efècte de"-preposition-oc "sous l'effet de"-preposition-fr
"jos la direccion de"-preposition-oc "sous la houlette de"-preposition-fr
"jos la proteccion de"-preposition-oc "sous la protection de"-preposition-fr
"jos l'empara de"-preposition-oc "sous la protection de"-preposition-fr
"sota la proteccion de"-preposition-oc "sous la protection de"-preposition-fr
"otra"-preposition-oc "outre"-preposition-fr
"pendent"-preposition-oc "durant"-preposition-fr
"pendent"-preposition-oc "lors de"-preposition-fr
"pendent"-preposition-oc "pendant"-preposition-fr
"per"-preposition-oc "par"-preposition-fr
"per"-preposition-oc "pour"-preposition-fr
"per a"-preposition-oc "pour"-preposition-fr
"per causa de"-preposition-oc "en raison de"-preposition-fr
"per causa de"-preposition-oc "pour cause de"-preposition-fr
"per çò que tanh"-preposition-oc "en ce qui concerne"-preposition-fr
"per encausa de"-preposition-oc "pour cause de"-preposition-fr
"per medi de"-preposition-oc "par l'intermédiaire de"-preposition-fr
"per'mor de"-preposition-oc "afin de"-preposition-fr
"tenent compte de"-preposition-oc "compte tenu de"-preposition-fr
"tenent"-preposition-oc "attenant"-preposition-fr
"tocant a"-preposition-oc "concernant"-preposition-fr
"concernent a"-preposition-oc "concernant"-preposition-fr
"per provar"-preposition-oc "à l'appui de"-preposition-fr
"a pròva de"-preposition-oc "à l'appui de"-preposition-fr
"pertocant"-preposition-oc "par rapport à"-preposition-fr
"pertocant"-preposition-oc "pour ce qui est de"-preposition-fr
"pertocant"-preposition-oc "quant à"-preposition-fr
"prèp de"-preposition-oc "près de"-preposition-fr
"près de"-preposition-oc "près de"-preposition-fr
"ran de"-preposition-oc "près de"-preposition-fr
"per rapòrt a"-preposition-oc "par rapport à"-preposition-fr
"respècte a"-preposition-oc "par rapport à"-preposition-fr
"quiti a"-preposition-oc "quitte à"-preposition-fr
"segon los dires de"-preposition-oc "au dire de"-preposition-fr
"segon los dires de"-preposition-oc "aux dires de"-preposition-fr
"segons"-preposition-oc "au dire de"-preposition-fr
"segons"-preposition-oc "selon"-preposition-fr
"segon"-preposition-oc "selon"-preposition-fr
"segon"-preposition-oc "suivant"-preposition-fr
"segon"-preposition-oc "d'après"-preposition-fr
"segontes"-preposition-oc "au dire de"-preposition-fr
"segontes"-preposition-oc "selon"-preposition-fr
"sobre"-preposition-oc "sur"-preposition-fr
"subre"-preposition-oc "sur"-preposition-fr
"sus"-preposition-oc "sur"-preposition-fr
"tà"-preposition-oc "pour"-preposition-fr
"tre"-preposition-oc "dès"-preposition-fr
"un pauc abans"-preposition-oc "un peu avant"-preposition-fr
"un pauc après"-preposition-oc "un peu après"-preposition-fr
"un pauc aprèp"-preposition-oc "un peu après"-preposition-fr
"un chic abans"-preposition-oc "un peu avant"-preposition-fr
"un chic aprèp"-preposition-oc "un peu après"-preposition-fr
"un pauc abans"-adverb-oc "un peu avant"-adverb-fr
"un pauc après"-adverb-oc "un peu après"-adverb-fr
"un pauc aprèp"-adverb-oc "un peu après"-adverb-fr
"un chic abans"-adverb-oc "un peu avant"-adverb-fr
"un chic aprèp"-adverb-oc "un peu après"-adverb-fr
"un pauc mens de"-preposition-oc "un peu moins de"-preposition-fr
"un chic mens de"-preposition-oc "un peu moins de"-preposition-fr
"un bricon mens de"-preposition-oc "un peu moins de"-preposition-fr
"un pauc mai de"-preposition-oc "un peu plus de"-preposition-fr
"un chic mai de"-preposition-oc "un peu plus de"-preposition-fr
"un bricon mai de"-preposition-oc "un peu plus de"-preposition-fr
"aquò"-pronoun-oc "ceci"-pronoun-fr
"aquò"-pronoun-oc "cela"-pronoun-fr
"aquò"-pronoun-oc "ça"-pronoun-fr
"çò"-pronoun-oc "cela"-pronoun-fr
"çò"-pronoun-oc "ce"-pronoun-fr
"aquel"-pronoun-oc "celui"-pronoun-fr
"aquel"-pronoun-oc "celui-là"-pronoun-fr
"aqueste"-pronoun-oc "celui-ci"-pronoun-fr
"aiceste"-pronoun-oc "celui-ci"-pronoun-fr
"aqueth"-pronoun-oc "celui-ci"-pronoun-fr
"aguest"-pronoun-oc "celui-ci"-pronoun-fr
"se"-pronoun-oc "se"-pronoun-fr
"se"-pronoun-oc "se"-reflexivePersonalPronoun-fr
"enta"-preposition-oc "pour"-preposition-fr
"entà"-preposition-oc "pour"-preposition-fr
"enter"-preposition-oc "entre"-preposition-fr
"enter"-preposition-oc "parmi"-preposition-fr
"amb"-preposition-oc "avec"-preposition-fr
"ambe"-preposition-oc "avec"-preposition-fr
"ambé"-preposition-oc "avec"-preposition-fr
"dab"-preposition-oc "avec"-preposition-fr
"damb"-preposition-oc "avec"-preposition-fr
"emb"-preposition-oc "avec"-preposition-fr
"embe"-preposition-oc "avec"-preposition-fr
"tab"-preposition-oc "avec"-preposition-fr
"tamb"-preposition-oc "avec"-preposition-fr
"sens"-preposition-oc "sans"-preposition-fr
"sense"-preposition-oc "sans"-preposition-fr
"sensa"-preposition-oc "sans"-preposition-fr
"dempuòi"-preposition-oc "depuis"-preposition-fr
"desempuèi"-preposition-oc "depuis"-preposition-fr
"desespuèi"-preposition-oc "depuis"-preposition-fr
"despuèi"-preposition-oc "depuis"-preposition-fr
"despuòi"-preposition-oc "depuis"-preposition-fr
"entrò a"-preposition-oc "jusqu'à"-preposition-fr
"entrò a"-preposition-oc "jusque"-preposition-fr
"entrò"-preposition-oc "jusqu'à"-preposition-fr
"entrò"-preposition-oc "jusque"-preposition-fr
"dusca"-preposition-oc "jusqu'à"-preposition-fr
"dusca"-preposition-oc "jusque"-preposition-fr
"duscas"-preposition-oc "jusqu'à"-preposition-fr
"duscas"-preposition-oc "jusque"-preposition-fr
"enjusca"-preposition-oc "jusque"-preposition-fr
"jusca"-preposition-oc "jusqu'à"-preposition-fr
"jusca"-preposition-oc "jusque"-preposition-fr
"juscas"-preposition-oc "jusqu'à"-preposition-fr
"juscas"-preposition-oc "jusque"-preposition-fr
"sota"-preposition-oc "sous"-preposition-fr
"confòrmament a"-preposition-oc "conformément à"-preposition-fr
"contràriament a"-preposition-oc "contrairement à"-preposition-fr
"malgrat"-preposition-oc "malgré"-preposition-fr
"maugrat"-preposition-oc "malgré"-preposition-fr
"per tal de"-preposition-oc "afin de"-preposition-fr
"pr'amor de"-preposition-oc "afin de"-preposition-fr
"per fin de"-preposition-oc "afin de"-preposition-fr
"a fin de"-preposition-oc "afin de"-preposition-fr
"afin de"-preposition-oc "afin de"-preposition-fr
"per de dire de"-preposition-oc "afin de"-preposition-fr
"ieu"-pronoun-oc "je"-pronoun-fr
"ieu"-pronoun-oc "moi"-pronoun-fr
"jo"-pronoun-oc "je"-pronoun-fr
"jo"-pronoun-oc "moi"-pronoun-fr
"ieu meteis"-pronoun-oc "moi-même"-pronoun-fr
"tu"-pronoun-oc "tu"-pronoun-fr
"tu"-pronoun-oc "toi"-pronoun-fr
"tu meteis"-pronoun-oc "toi-même"-pronoun-fr
"el"-pronoun-oc "il"-pronoun-fr
"el"-pronoun-oc "lui il"-pronoun-fr
"el"-pronoun-oc "lui"-pronoun-fr
"el"-pronoun-oc "eux"-pronoun-fr
"el meteis"-pronoun-oc "lui-même"-pronoun-fr
"nosautres"-pronoun-oc "nous"-pronoun-fr
"nosauts"-pronoun-oc "nous"-pronoun-fr
"nosautris"-pronoun-oc "nous"-pronoun-fr
"nautres"-pronoun-oc "nous"-pronoun-fr
"nosautres meteises"-pronoun-oc "nous-mêmes"-pronoun-fr
"nosautres meteises"-pronoun-oc "nous-même"-pronoun-fr
"nos meteis"-pronoun-oc "nous-même"-pronoun-fr
"vosautres"-pronoun-oc "vous"-pronoun-fr
"vosauts"-pronoun-oc "vous"-pronoun-fr
"vosautris"-pronoun-oc "vous"-pronoun-fr
"vautres"-pronoun-oc "vous"-pronoun-fr
"vosautres meteises"-pronoun-oc "vous-mêmes"-pronoun-fr
"vos meteis"-pronoun-oc "vous-même"-pronoun-fr
"me"-pronoun-oc "me"-pronoun-fr
"te"-pronoun-oc "te"-pronoun-fr
"li"-pronoun-oc "lui"-pronoun-fr
"li"-pronoun-oc "leur"-pronoun-fr
"nos"-pronoun-oc "nous"-pronoun-fr
"vos"-pronoun-oc "vous"-pronoun-fr
"o"-pronoun-oc "le"-pronoun-fr
"lo"-pronoun-oc "le"-pronoun-fr
"cadun"-pronoun-oc "chacun"-pronoun-fr
"cèrtes"-pronoun-oc "certains"-pronoun-fr
"tot"-pronoun-oc "tout"-pronoun-fr
"quin que siá"-pronoun-oc "quiconque"-pronoun-fr
"quin que siá"-pronoun-oc "n'importe qui"-pronoun-fr
"quin que siá"-adjective-oc "quelconque"-adjective-fr
"quin que siá"-determiner-oc "n'importe quel"-determiner-fr
"i"-pronoun-oc "y"-adverb-fr
"i"-pronoun-oc "y"-pronoun-fr
"en"-pronoun-oc "en"-adverb-fr
"en"-pronoun-oc "en"-pronoun-fr
"ne"-pronoun-oc "en"-adverb-fr
"ne"-pronoun-oc "en"-pronoun-fr
"òm"-pronoun-oc "on"-pronoun-fr
"qué"-pronoun-oc "qué"-pronoun-fr
"qué"-pronoun-oc "que"-pronoun-fr
"qué"-pronoun-oc "que"-relativePronoun-fr
"qué"-pronoun-oc "qu'est-ce que"-pronoun-fr
"qué"-pronoun-oc "quoi"-pronoun-fr
"quicòm"-pronoun-oc "quelque chose"-pronoun-fr
"quauquarren"-pronoun-oc "quelque chose"-pronoun-fr
"qualquarren"-pronoun-oc "quelque chose"-pronoun-fr
"quauquarrés"-pronoun-oc "quelque chose"-pronoun-fr
"ren"-pronoun-oc "rien"-pronoun-fr
"res"-pronoun-oc "rien"-pronoun-fr
"arren"-pronoun-oc "rien"-pronoun-fr
"degun"-pronoun-oc "personne"-pronoun-fr
"arrés"-pronoun-oc "personne"-pronoun-fr
"qualqu'un"-pronoun-oc "quelqu'un"-pronoun-fr
"quin"-pronoun-oc "quel"-pronoun-fr
"qual"-pronoun-oc "quel"-pronoun-fr
"qual"-pronoun-oc "qui"-pronoun-fr
"qual"-pronoun-oc "qui"-relativePronoun-fr
"quau"-pronoun-oc "quel"-pronoun-fr
"quin"-adjective-oc "quel"-adjective-fr
"qual"-adjective-oc "quel"-adjective-fr
"quau"-adjective-oc "quel"-adjective-fr
"quant"-pronoun-oc "combien"-pronoun-fr
"quant"-adverb-oc "combien"-adverb-fr
"quant"-adverb-oc "combien"-relativePronoun-fr
"quant"-relativePronoun-oc "combien"-adverb-fr
"quant"-relativePronoun-oc "combien"-relativePronoun-fr
"ont"-adverb-oc "où"-adverb-fr
"on"-adverb-oc "où"-adverb-fr
"ont"-adverb-oc "où"-relativePronoun-fr
"ont"-relativePronoun-oc "où"-adverb-fr
"ont"-relativePronoun-oc "où"-relativePronoun-fr
"qui"-pronoun-oc "qui"-pronoun-fr
"qui"-pronoun-oc "qui"-relativePronoun-fr
"lo"-determiner-oc "le"-determiner-fr
"eth"-determiner-oc "le"-determiner-fr
"un"-determiner-oc "un"-determiner-fr
"un"-pronoun-oc "un"-pronoun-fr
"cap de"-determiner-oc "aucun"-determiner-fr
"cap"-determiner-oc "aucun"-determiner-fr
"qualque"-determiner-oc "quelque"-determiner-fr
"mantun"-determiner-oc "maint"-determiner-fr
"mantun"-pronoun-oc "maint"-pronoun-fr
"mon"-determiner-oc "mon"-determiner-fr
"lo mieu"-determiner-oc "mon"-determiner-fr
"eth mèn"-determiner-oc "mon"-determiner-fr
"ton"-determiner-oc "ton"-determiner-fr
"lo tieu"-determiner-oc "ton"-determiner-fr
"son"-determiner-oc "son"-determiner-fr
"lo sieu"-determiner-oc "son"-determiner-fr
"nòstre"-determiner-oc "notre"-determiner-fr
"nòste"-determiner-oc "notre"-determiner-fr
"lo nòstre"-determiner-oc "notre"-determiner-fr
"vòstre"-determiner-oc "votre"-determiner-fr
"vòste"-determiner-oc "votre"-determiner-fr
"lo vòstre"-determiner-oc "votre"-determiner-fr
"lor"-determiner-oc "leur"-determiner-fr
"lo mieu"-pronoun-oc "le mien"-pronoun-fr
"eth mèn"-pronoun-oc "le mien"-pronoun-fr
"lo tieu"-pronoun-oc "le tien"-pronoun-fr
"lo sieu"-pronoun-oc "le sien"-pronoun-fr
"lo nòstre"-pronoun-oc "le nôtre"-pronoun-fr
"lo vòstre"-pronoun-oc "le vôtre"-pronoun-fr
"lo lor"-pronoun-oc "le leur"-pronoun-fr
"de ieu"-adjective-oc "à moi"-adjective-fr
"de tu"-adjective-oc "à toi"-adjective-fr
"d'el"-adjective-oc "à lui"-adjective-fr
"de nosautres"-adjective-oc "à nous"-adjective-fr
"de vosautres"-adjective-oc "à vous"-adjective-fr
"aiceste"-determiner-oc "ce"-determiner-fr
"aqueste"-determiner-oc "ce"-determiner-fr
"aqueth"-determiner-oc "ce"-determiner-fr
"aguest"-determiner-oc "ce"-determiner-fr
"aquel"-determiner-oc "ce"-determiner-fr
"cèrt"-determiner-oc "certain"-determiner-fr
"certan"-determiner-oc "certain"-determiner-fr
"lo qual"-relativePronoun-oc "lequel"-relativePronoun-fr
"eth quau"-relativePronoun-oc "lequel"-relativePronoun-fr
"a lo qual"-relativePronoun-oc "auquel"-relativePronoun-fr
"de lo qual"-relativePronoun-oc "duquel"-relativePronoun-fr
"lo que"-noun-oc "celui que"-relativePronoun-fr
"lo que"-noun-oc "celui qui"-relativePronoun-fr
"lo que"-relativePronoun-oc "celui que"-relativePronoun-fr
"lo que"-relativePronoun-oc "celui qui"-relativePronoun-fr
"aquel que"-relativePronoun-oc "celui que"-relativePronoun-fr
