"Apertium individual as object in a triple,""Property to use with lexical entry as subject",,,,
"(not necessarily pos)"",""Lexinfo individual OR Apertium individual OR blank node",,,,
"as object"",Abbreviation for URI,Comments",,,,
apertium:fixedcase,lexinfo:morphosyntacticProperty,apertium:fixedcase,,
apertium:fn,lexinfo:gender,lexinfo:feminine,,
apertium:fn,lexinfo:gender,lexinfo:neuter,,
apertium:frm,lexinfo:morphosyntacticProperty,apertium:frm,,
apertium:fti,lexinfo:tense,lexinfo:future,,
apertium:fti,lexinfo:mood,lexinfo:indicative,,
apertium:fts,lexinfo:tense,lexinfo:future,,
apertium:fts,lexinfo:mood,lexinfo:subjunctive,,
apertium:fut,lexinfo:morphosyntacticProperty,apertium:fut,,
apertium:fut,lexinfo:tense,lexinfo:future,,
apertium:fut2,lexinfo:morphosyntacticProperty,apertium:fut2,,
apertium:fut2,lexinfo:tense,lexinfo:future,,
apertium:futI,lexinfo:morphosyntacticProperty,apertium:futI,,
apertium:futI,lexinfo:tense,lexinfo:future,,
apertium:G3,lexinfo:morphosyntacticProperty,apertium:G3,,
apertium:G3,lexinfo:partOfSpeech,lexinfo:noun,noun,
apertium:GABE,lexinfo:morphosyntacticProperty,apertium:GABE,,
apertium:GAN,lexinfo:morphosyntacticProperty,apertium:GAN,,
apertium:GD,lexinfo:gender,apertium:GD,,
apertium:GD_pers,lexinfo:morphosyntacticProperty,apertium:GD_pers,,
apertium:GEHI,lexinfo:morphosyntacticProperty,apertium:GEHI,,
apertium:GEL,lexinfo:morphosyntacticProperty,apertium:GEL,,
apertium:gen,lexinfo:case,lexinfo:genitiveCase,,
apertium:Gen,lexinfo:case,lexinfo:genitiveCase,,
apertium:GEN,lexinfo:case,lexinfo:genitiveCase,,
apertium:genacc,lexinfo:morphosyntacticProperty,apertium:genacc,,
apertium:ger,lexinfo:morphosyntacticProperty,apertium:ger,,
apertium:Ger,lexinfo:morphosyntacticProperty,apertium:Ger,,
apertium:ger_past,lexinfo:morphosyntacticProperty,apertium:ger_past,,
apertium:GERO,lexinfo:morphosyntacticProperty,apertium:GERO,,
apertium:gerps,lexinfo:morphosyntacticProperty,apertium:gerps,,
apertium:gna,lexinfo:morphosyntacticProperty,apertium:gna,,
apertium:gna,lexinfo:partOfSpeech,lexinfo:adverb,adv,
