"explicitement"-adverb-fr "eksplicite"-adverb-eo
"vouloir"-verb-fr "voli"-verb-eo
"avoir envie de"-verb-fr "voli"-verb-eo
"ravi"-verb-eo "enchanter"-verb-fr
"ravi"-verb-eo "ravir"-verb-fr
"enchanter"-verb-fr "ravi"-verb-eo
"ravir"-verb-fr "ravi"-verb-eo
"vivi"-verb-eo "vivre"-verb-fr
"vivre"-verb-fr "vivi"-verb-eo
"habiter"-verb-fr "loĝi"-verb-eo
"loĝi"-verb-eo "habiter"-verb-fr
"loĝi"-verb-eo "résider"-verb-fr
"résider"-verb-fr "loĝi"-verb-eo
"kovri"-verb-eo "couvrir"-verb-fr
"kovri"-verb-eo "napper"-verb-fr
"kovri"-verb-eo "joncher"-verb-fr
"couvrir"-verb-fr "kovri"-verb-eo
"napper"-verb-fr "kovri"-verb-eo
"joncher"-verb-fr "kovri"-verb-eo
"calmer"-verb-fr "kvietigi"-verb-eo
"kvietigi"-verb-eo "calmer"-verb-fr
"interveni"-verb-eo "intervenir"-verb-fr
"intervenir"-verb-fr "interveni"-verb-eo
"partopreni"-verb-eo "participer"-verb-fr
"participer"-verb-fr "partopreni"-verb-eo
"faciligi"-verb-eo "faciliter"-verb-fr
"faciliter"-verb-fr "faciligi"-verb-eo
"transporti"-verb-eo "transporter"-verb-fr
"transporti"-verb-eo "voiturer"-verb-fr
"transporti"-verb-eo "véhiculer"-verb-fr
"transporter"-verb-fr "transporti"-verb-eo
"voiturer"-verb-fr "transporti"-verb-eo
"véhiculer"-verb-fr "transporti"-verb-eo
"transloĝiĝi"-verb-eo "déplacer"-verb-fr
"déplacer"-verb-fr "transloĝiĝi"-verb-eo
"mouvoir"-verb-fr "movi"-verb-eo
"movi"-verb-eo "mouvoir"-verb-fr
"movi"-verb-eo "bouger"-verb-fr
"bouger"-verb-fr "movi"-verb-eo
"ébranler"-verb-fr "skui"-verb-eo
"skui"-verb-eo "ébranler"-verb-fr
"perdi"-verb-eo "perdre"-verb-fr
